073123_164214,experimentstats
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164215,trialstats
,simseconds,68
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164215,trialstats
,simseconds,69
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164215,trialstats
,simseconds,70
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164215,trialstats
,simseconds,71
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,72
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,73
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,74
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,75
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,76
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,77
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,78
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,79
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,80
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,81
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,82
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,83
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,84
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,85
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,86
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,87
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,88
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,89
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,90
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,91
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,92
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,93
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,94
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,95
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,96
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,97
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,98
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,99
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,100
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,101
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,102
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,103
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,104
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,105
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,106
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,107
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,108
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164216,trialstats
,simseconds,109
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,110
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,111
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,112
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,113
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,114
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,115
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,116
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,117
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,118
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,119
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,120
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,121
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,122
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,123
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,124
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,125
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,126
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,127
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,128
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,129
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,130
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,131
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,132
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,133
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,134
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,135
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,136
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,137
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,138
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,139
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,140
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,141
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,142
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,143
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,144
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,145
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,146
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164217,trialstats
,simseconds,147
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,148
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,149
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,150
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,151
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,152
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,153
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,154
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,155
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,156
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,157
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,158
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,159
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,160
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,161
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,162
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,163
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,164
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,165
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,166
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,167
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,168
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,169
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,170
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,171
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,172
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,173
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,174
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,175
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,176
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,177
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,178
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,179
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,180
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,181
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,182
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,183
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,184
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,185
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164218,trialstats
,simseconds,186
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164219,trialstats
,simseconds,187
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164219,trialstats
,simseconds,188
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164219,trialstats
,simseconds,189
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164219,trialstats
,simseconds,190
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164219,trialstats
,simseconds,191
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164219,trialstats
,simseconds,192
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
073123_164219,trialstats
,simseconds,193
,active,8
,motion_disabled,0
,comms_disabled,0
,sense_disabled,0
,fractioncorrectdecisions,1.000000
